section id,recording id,recording name,wearer id,wearer name,section start time [ns],section end time [ns],start event name,end event name
1b132fad-2863-4c9c-bfd6-c63408f6919b,7ed33ea6-5930-4af7-9c7d-2239e5315572,group0_A0_Custom,ec522c86-463b-45d4-b48c-9822ff4c8bf3,A0,1698822593975000000,1698822744101000000,recording.begin,recording.end
274a7257-c2d9-4b6c-9ab9-0d474b2513d9,208350e8-bfe7-498e-aaf6-8cc974304b93,group0_B0_Custom,f17fc0d6-6712-47c9-8114-fa2782bb96a5,B0,1698822595552000000,1698822742045000000,recording.begin,recording.end
ad0615e6-9bd7-4376-bef7-0dc37dee48c0,b01e6a98-75ac-48c7-8479-29f612e1b933,group0_A0_LeadFollow,ec522c86-463b-45d4-b48c-9822ff4c8bf3,A0,1698823399536000000,1698823479946000000,recording.begin,recording.end
f0121284-e1bc-4614-9b6f-15644b37a1e6,7b758d8e-1f0b-4d12-95f0-62097f662d56,group0_B0_FollowLead,f17fc0d6-6712-47c9-8114-fa2782bb96a5,B0,1698822927178000000,1698823015934000000,recording.begin,recording.end
d79a604b-a132-44bd-b847-be53b8d96d57,951a99fd-1488-47b3-b48a-7e71dcbd1933,group0_B0_LeadFollow,f17fc0d6-6712-47c9-8114-fa2782bb96a5,B0,1698823398420000000,1698823478284000000,recording.begin,recording.end
30cdd497-a76d-4cb7-8f13-6231503b0c66,241cf3f4-31e8-4803-9dc1-035764cfa1c0,group0_A0_FollowLead,ec522c86-463b-45d4-b48c-9822ff4c8bf3,A0,1698822927008000000,1698823017721000000,recording.begin,recording.end
974dc8cd-7360-465f-8086-04dc8235a4eb,7d40a384-35ab-478d-8e9a-7c187323557e,group0_A0_JointLead,ec522c86-463b-45d4-b48c-9822ff4c8bf3,A0,1698823149966000000,1698823235634000000,recording.begin,recording.end
6bab3a42-2e96-4abb-b26b-6bd3eb996a09,444300bb-5221-4928-8861-f82f7d376ba0,group1_A1_LeadFollow,1b42efe3-8492-4b85-8e66-c38ed00df4a3,A1,1698826242261000000,1698826375134000000,recording.begin,recording.end
12f63196-e704-44a2-8564-7003faced222,81b2a246-07a1-44a0-934e-2068c326ee6b,group1_B1_JointLead,7a2d5530-35f7-4640-8217-f6d7a14b9613,B1,1698826580634000000,1698826646205000000,recording.begin,recording.end
21c898fa-d785-4b12-b8c9-166b56ceb13d,85bff52e-80d4-4348-a55c-560210cdbbe0,group1_A1_JointLead,1b42efe3-8492-4b85-8e66-c38ed00df4a3,A1,1698826582407000000,1698826645120000000,recording.begin,recording.end
9cd22e0c-8f8e-436a-ba34-a162e3c02098,80a22fab-30ce-4396-b85a-099c89b1798f,group1_B1_LeadFollow,7a2d5530-35f7-4640-8217-f6d7a14b9613,B1,1698826241260000000,1698826378789000000,recording.begin,recording.end
1529c0c2-c88c-410a-a338-83ffd74c9772,9d9334bf-76b0-43bc-ba9d-4da88a3c26da,group1_A1_FollowLead,1b42efe3-8492-4b85-8e66-c38ed00df4a3,A1,1698826748913000000,1698826819353000000,recording.begin,recording.end
