NO_OF_FRAMES	23509
NO_OF_CAMERAS	9
NO_OF_MARKERS	0
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-11-03, 08:13:12.823	321964.51460860
DATA_INCLUDED	3D
MARKER_NAMES
TRAJECTORY_TYPES
Frame	Time	
1122	3.73667	
1123	3.74000	
1124	3.74333	
1125	3.74667	
1126	3.75000	
1127	3.75333	
1128	3.75667	
1129	3.76000	
1130	3.76333	
1131	3.76667	
1132	3.77000	
1133	3.77333	
1134	3.77667	
1135	3.78000	
1136	3.78333	
1137	3.78667	
1138	3.79000	
1139	3.79333	
1140	3.79667	
1141	3.80000	
1142	3.80333	
1143	3.80667	
1144	3.81000	
1145	3.81333	
1146	3.81667	
1147	3.82000	
1148	3.82333	
1149	3.82667	
1150	3.83000	
1151	3.83333	
1152	3.83667	
1153	3.84000	
1154	3.84333	
1155	3.84667	
1156	3.85000	
1157	3.85333	
1158	3.85667	
1159	3.86000	
1160	3.86333	
1161	3.86667	
1162	3.87000	
1163	3.87333	
1164	3.87667	
1165	3.88000	
1166	3.88333	
1167	3.88667	
1168	3.89000	
1169	3.89333	
1170	3.89667	
1171	3.90000	
1172	3.90333	
1173	3.90667	
1174	3.91000	
1175	3.91333	
1176	3.91667	
1177	3.92000	
1178	3.92333	
1179	3.92667	
1180	3.93000	
1181	3.93333	
1182	3.93667	
1183	3.94000	
1184	3.94333	
1185	3.94667	
1186	3.95000	
1187	3.95333	
1188	3.95667	
1189	3.96000	
1190	3.96333	
1191	3.96667	
1192	3.97000	
1193	3.97333	
1194	3.97667	
1195	3.98000	
1196	3.98333	
1197	3.98667	
1198	3.99000	
1199	3.99333	
1200	3.99667	
1201	4.00000	
1202	4.00333	
1203	4.00667	
1204	4.01000	
1205	4.01333	
1206	4.01667	
1207	4.02000	
1208	4.02333	
1209	4.02667	
1210	4.03000	
1211	4.03333	
1212	4.03667	
1213	4.04000	
1214	4.04333	
1215	4.04667	
1216	4.05000	
1217	4.05333	
1218	4.05667	
1219	4.06000	
1220	4.06333	
1221	4.06667	
1222	4.07000	
1223	4.07333	
1224	4.07667	
1225	4.08000	
1226	4.08333	
1227	4.08667	
1228	4.09000	
1229	4.09333	
1230	4.09667	
1231	4.10000	
1232	4.10333	
1233	4.10667	
1234	4.11000	
1235	4.11333	
1236	4.11667	
1237	4.12000	
1238	4.12333	
1239	4.12667	
1240	4.13000	
1241	4.13333	
1242	4.13667	
1243	4.14000	
1244	4.14333	
1245	4.14667	
1246	4.15000	
1247	4.15333	
1248	4.15667	
1249	4.16000	
1250	4.16333	
1251	4.16667	
1252	4.17000	
1253	4.17333	
1254	4.17667	
1255	4.18000	
1256	4.18333	
1257	4.18667	
1258	4.19000	
1259	4.19333	
1260	4.19667	
1261	4.20000	
1262	4.20333	
1263	4.20667	
1264	4.21000	
